Atoll,Image date/time (UTC),Maxar Image ID,Target lat,Off-nadir angle,Sun elevation,Sun azimuth,Target azimuth,Camera elevation,Camera azimuth,Sun RA,Sun d,Camera RA,Camera d,phase angle,Best classification phase angle
Abaiang,2/8/2018 23:08,1030010077B1EB00,1.8569,23.579,61.6827,126.2722,17.8816,66.421,197.8816,336.7227016,-14.59383177,7.536580163,-20.53575577,29.92275249,all
Abaiang,10/8/2016 22:55,103001005DD6FB00,1.8569,16.4839,68.4555,111.9882,215.1412,73.5161,35.1412,339.9714155,-6.158698664,350.2540005,15.2468968,23.70688905,all
Abaiang,4/17/2018 23:09,103001007D6F2300,1.8569,27.0976,68.4484,64.5188,14.0371,62.9024,194.0371,340.2672851,10.84132015,6.967277747,-24.38255294,43.81990416,all
Abemama,1/1/2018 23:04,103001007708FD00,0.3927,11.904,59.1131,140.1152,168.0038,78.096,348.0038,339.0739063,-22.8311469,2.512435114,12.03267686,41.74324735,all
Abemama,6/16/2018 23:02,1030010080419F00,0.3927,21.4349,59.3624,39.7521,192.1706,68.5651,12.1706,339.1961538,23.43338003,355.2559441,21.32154841,14.99154798,none
Ahe,8/25/2016 20:03,1030010059422F00,-14.4784,16.104,54.0888,47.4592,202.3407,73.896,22.3407,333.9311883,10.45564452,353.9474807,0.470357112,22.26329491,all
Ahe,9/13/2016 20:02,103001005BA84F00,-14.4784,8.105,59.802,55.4262,330.2997,81.895,150.2997,335.4860836,3.455854934,355.6950204,-21.47494613,31.82805529,all
Ahe,10/10/2016 20:05,103001005E5E5100,-14.4784,6.7461,67.7173,72.6841,184.8127,83.2539,4.8127,338.6096834,-7.011640386,359.4300954,-7.755487747,20.65911281,all
Ahnd,2/14/2020 0:05,10300100A1847700,6.7768,17.841,58.7441,129.7522,164.4753,72.159,344.4753,335.8102392,-13.21480419,5.146792342,23.92015942,46.91430751,none
Ahunui,5/28/2015 19:43,1.03001E+15,-19.6342,21.5699,43.0438,31.026,5.5729,68.4301,185.5729,336.1810697,21.13166843,2.714701629,-41.07958327,66.91127119,5
Ailinginae,1/18/2016 23:32,103001004F365700,11.1429,12.3025,51.0673,144.069,112.0204,77.6975,292.0204,336.8285198,-20.42082217,11.82847223,15.4978137,49.71944022,none
Ailinginae,12/22/2015 23:27,103001004CB00800,11.1429,11.4197,49.6972,148.9635,179.5478,78.5803,359.5478,338.700013,-23.35293584,0.096952593,22.56222462,50.41015243,none
Ailuk,2/1/2016 23:15,1030010051618A00,10.3134,14.8524,53.5118,138.2104,149.3974,75.1476,329.3974,335.5202626,-16.99407564,8.147481339,22.96159626,51.12777306,none
Akiaki,6/11/2020 19:30,10300100A758FB00,-18.55,29.493,41.0103,33.0458,5.1933,60.507,185.1933,333.4449132,23.01091688,3.809665597,-47.87906454,75.95400758,none
Amanu,11/18/2016 19:27,10300100604E6100,-17.8076,25.8333,66.2786,97.6016,278.9565,64.1667,98.9565,335.0062316,-19.30825231,332.7623437,-19.86770054,2.186775903,5
